Results from query to NASA/IPAC Extragalactic Database (NED),,,,,,,,,,,,,,,,
which is funded by the National Aeronautics and Space Administration.,,,,,,,,,,,,,,,,
and operated by the California Institute of Technology.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
queryDateTime:2024-06-24T19:36:45PDT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Main Information Table for All Sky,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Equinox:J2000.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CoordSystem:Equatorial,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
203,NGC 1537,63.41963,-31.64542,G,1429,0.004767,UUN,12.22,0,116,6,64,14,14,18,0
204,NGC 1546,63.65225,-56.06081,G,1284,0.004284,S1L,11.8,0,137,5,109,23,10,17,0
205,NGC 1549,63.93804,-55.59225,G,1256,0.00419,UUN,10.72,0,253,11,130,25,19,18,1
206,NGC 1553,64.04363,-55.78014,G,1080,0.003602,SUN,10.28,0,366,15,186,32,18,21,0
207,NGC 1559,64.39904,-62.78367,G,1304,0.00435,UUN,11,0,311,9,88,29,21,17,0
208,NGC 1566,65.00175,-54.93781,G,1504,0.005017,UUN,10.33,0,778,19,314,84,47,17,0
209,NGC 1574,65.49508,-56.97475,G,1041,0.003472,UUN,11.36,0,138,7,68,13,9,17,0
210,NGC 1530,65.86292,75.29558,G,2458,0.008199,S1L,12.25,0,217,16,81,26,14,8,0
211,NGC 1596,66.90879,-55.02781,G,1510,0.005037,SUN,12.1,0,132,8,69,12,11,17,0
212,NGC 1589,67.68933,0.86367,G,3796,0.012662,S1L,12.8,0,74,4,70,18,9,8,1
213,NGC 1617,67.91471,-54.60228,G,1069,0.003566,SUN,11.38,0,116,8,91,16,8,17,0
214,NGC 1600,67.91642,-5.08625,G,4681,0.015613,SST,11.93,0,353,9,95,33,20,6,0
215,3C 120,68.29623,5.35434,G,9896,0.03301,SUN,14.1r,0,1521,28,467,116,88,12,0
216,NGC 1615,69.00433,19.95033,G,3330,0.011107,SLS,14.57,0,27,3,26,12,6,8,0
217,NGC 1637,70.36741,-2.85796,G,717,0.002392,SUN,11.2B,0,564,11,131,40,28,11,0
218,NGC 1672,71.42708,-59.24718,G,1331,0.00444,UUN,10.28,0,386,20,152,37,22,17,0
219,NGC 1703,73.21729,-59.74225,G,1526,0.00509,UUN,11.9,0,90,5,54,20,12,17,0
220,NGC 1700,74.23464,-4.86577,G,3899,0.013006,SST,12.2,0,319,11,113,32,22,9,0
221,NGC 1744,74.99083,-26.02222,G,741,0.002472,S1L,11.9B,0,176,6,100,32,19,19,0
222,NGC 1809,75.52088,-69.56828,G,1300,0.004336,UUN,13,0,60,1,59,17,13,14,0
